root@duckie:/code/catkin_ws/src/dt-ros-commons/packages/test_package/src# rosrun test_package get_coordinates.py
[INFO] [1740590579.816087]: [/odometry_node] Initializing...
[INFO] [1740590580.083877]: [/odometry_node] Health status changed [STARTING] -> [STARTED]
[INFO] [1740590580.496251]: Left encoder resolution: 135
[INFO] [1740590580.504703]: Right encoder resolution: 135
[INFO] [1740590580.511322]: Left encoder type: 1
[INFO] [1740590580.538197]: Right encoder type: 1
[INFO] [1740590585.923955]: 1.0|0.0(X:75.61/Y:28.99) | Angle:6.0760 | Heading:5.890486225480862
[INFO] [1740590586.025434]: 1.0|0.0(X:76.70/Y:29.22) | Angle:6.0908 | Heading:0.0
[INFO] [1740590586.124109]: 1.0|0.0(X:77.94/Y:29.46) | Angle:6.0168 | Heading:5.890486225480862
[INFO] [1740590586.224136]: 1.0|0.0(X:79.44/Y:29.87) | Angle:5.9132 | Heading:5.890486225480862
[INFO] [1740590586.324062]: 1.0|0.0(X:79.99/Y:30.09) | Angle:5.9428 | Heading:5.890486225480862
[INFO] [1740590586.424011]: 1.0|0.0(X:81.66/Y:30.68) | Angle:5.8836 | Heading:5.890486225480862
[INFO] [1740590586.524050]: 1.0|0.0(X:83.16/Y:31.31) | Angle:5.7652 | Heading:5.890486225480862
[INFO] [1740590586.633067]: 1.0|0.0(X:84.38/Y:32.01) | Angle:5.7208 | Heading:5.890486225480862
[INFO] [1740590586.724051]: 1.0|0.0(X:85.32/Y:32.60) | Angle:5.7060 | Heading:5.890486225480862
[INFO] [1740590586.826504]: 1.0|0.0(X:86.19/Y:33.17) | Angle:5.4692 | Heading:5.497787143782138
[INFO] [1740590586.930271]: 1.0|0.0(X:86.65/Y:33.65) | Angle:5.4248 | Heading:5.497787143782138
[INFO] [1740590587.038637]: 1.0|0.0(X:87.37/Y:34.49) | Angle:5.2916 | Heading:5.105088062083414
[INFO] [1740590587.144419]: 1.0|0.0(X:88.14/Y:35.67) | Angle:5.3064 | Heading:5.497787143782138
[INFO] [1740590587.245643]: 1.0|0.0(X:88.85/Y:36.71) | Angle:5.2916 | Heading:5.105088062083414
[INFO] [1740590587.325014]: 1.0|0.0(X:89.37/Y:37.51) | Angle:5.3360 | Heading:5.497787143782138
[INFO] [1740590587.424116]: 1.0|0.0(X:90.37/Y:38.90) | Angle:5.2620 | Heading:5.105088062083414
[INFO] [1740590587.632834]: 1.0|0.0(X:91.56/Y:40.85) | Angle:5.1584 | Heading:5.105088062083414
[INFO] [1740590587.736361]: 1.0|0.0(X:92.11/Y:41.99) | Angle:5.1436 | Heading:5.105088062083414
[INFO] [1740590587.826565]: 1.0|0.0(X:92.85/Y:43.60) | Angle:5.2028 | Heading:5.105088062083414
[INFO] [1740590587.924088]: 1.0|0.0(X:93.44/Y:44.71) | Angle:5.1880 | Heading:5.105088062083414
[INFO] [1740590588.026675]: 1.0|0.0(X:94.05/Y:45.90) | Angle:5.1880 | Heading:5.105088062083414
[INFO] [1740590588.132189]: 1.0|0.0(X:94.53/Y:46.82) | Angle:5.1288 | Heading:5.105088062083414
[INFO] [1740590588.224051]: 1.0|0.0(X:95.16/Y:48.24) | Angle:5.1732 | Heading:5.105088062083414
[INFO] [1740590588.324733]: 1.0|0.0(X:95.65/Y:49.23) | Angle:5.1288 | Heading:5.105088062083414
[INFO] [1740590588.424188]: 1.0|0.0(X:96.16/Y:50.38) | Angle:5.2324 | Heading:5.105088062083414
[INFO] [1740590588.526454]: 1.0|0.0(X:96.75/Y:51.41) | Angle:5.2324 | Heading:5.105088062083414
[INFO] [1740590588.624042]: 1.0|0.0(X:97.41/Y:52.57) | Angle:5.2324 | Heading:5.105088062083414
[INFO] [1740590588.745836]: 1.0|0.0(X:98.25/Y:54.04) | Angle:5.1880 | Heading:5.105088062083414
[INFO] [1740590588.824798]: 1.0|0.0(X:98.76/Y:55.03) | Angle:5.2324 | Heading:5.105088062083414
