root@duckie:/code/catkin_ws/src/dt-ros-commons/packages/test_package/src# rosrun test_package get_coordinates.py
[INFO] [1740590877.881676]: [/odometry_node] Initializing...
[INFO] [1740590877.991414]: [/odometry_node] Health status changed [STARTING] -> [STARTED]
[INFO] [1740590878.338138]: Right encoder resolution: 135
[INFO] [1740590878.340975]: Left encoder resolution: 135
[INFO] [1740590878.348904]: Right encoder type: 1
[INFO] [1740590878.375463]: Left encoder type: 1
[INFO] [1740590883.776409]: 1.0|0.0(X:86.99/Y:30.67) | Angle:0.2072 | Heading:0.39269908169872414
[INFO] [1740590883.861455]: 1.0|0.0(X:88.87/Y:30.28) | Angle:0.2664 | Heading:0.39269908169872414
[INFO] [1740590883.958838]: 1.0|0.0(X:90.65/Y:29.79) | Angle:0.3108 | Heading:0.39269908169872414
[INFO] [1740590884.063950]: 1.0|0.0(X:92.41/Y:29.22) | Angle:0.3552 | Heading:0.39269908169872414
[INFO] [1740590884.159102]: 1.0|0.0(X:93.94/Y:28.66) | Angle:0.4440 | Heading:0.39269908169872414
[INFO] [1740590884.259945]: 1.0|0.0(X:95.81/Y:27.77) | Angle:0.4440 | Heading:0.39269908169872414
[INFO] [1740590884.362077]: 1.0|0.0(X:97.55/Y:26.94) | Angle:0.4736 | Heading:0.39269908169872414
[INFO] [1740590884.466132]: 1.0|0.0(X:98.74/Y:26.33) | Angle:0.4736 | Heading:0.39269908169872414
[INFO] [1740590884.559110]: 1.0|0.0(X:100.38/Y:25.49) | Angle:0.3700 | Heading:0.39269908169872414
[INFO] [1740590884.658763]: 1.0|0.0(X:102.59/Y:24.63) | Angle:0.6364 | Heading:0.7853981633974483
[INFO] [1740590884.761644]: 1.0|0.0(X:104.02/Y:23.58) | Angle:0.5476 | Heading:0.39269908169872414
[INFO] [1740590884.858134]: 1.0|0.0(X:105.66/Y:22.58) | Angle:0.6068 | Heading:0.7853981633974483
[INFO] [1740590884.960756]: 1.0|0.0(X:107.36/Y:21.40) | Angle:0.7252 | Heading:0.7853981633974483
[INFO] [1740590885.067300]: 1.0|0.0(X:108.53/Y:20.36) | Angle:0.7400 | Heading:0.7853981633974483
[INFO] [1740590885.160098]: 1.0|0.0(X:109.62/Y:19.37) | Angle:0.7696 | Heading:0.7853981633974483
[INFO] [1740590885.260673]: 1.0|0.0(X:110.73/Y:18.29) | Angle:0.7844 | Heading:0.7853981633974483
[INFO] [1740590885.372175]: 1.0|0.0(X:111.73/Y:17.29) | Angle:0.8288 | Heading:0.7853981633974483
[INFO] [1740590885.462230]: 1.0|0.0(X:112.68/Y:16.26) | Angle:0.8436 | Heading:0.7853981633974483
[INFO] [1740590885.557491]: 1.0|0.0(X:113.57/Y:15.26) | Angle:0.8732 | Heading:0.7853981633974483
[INFO] [1740590885.664869]: 1.0|0.0(X:114.37/Y:14.30) | Angle:0.9472 | Heading:0.7853981633974483
[INFO] [1740590885.757484]: 1.0|0.0(X:115.28/Y:13.03) | Angle:0.9324 | Heading:0.7853981633974483
[INFO] [1740590885.857434]: 1.0|0.0(X:116.12/Y:11.91) | Angle:0.9768 | Heading:0.7853981633974483
[INFO] [1740590885.957472]: 1.0|0.0(X:116.95/Y:10.68) | Angle:1.0064 | Heading:1.1780972450961724
[INFO] [1740590886.057916]: 1.0|0.0(X:117.74/Y:9.43) | Angle:1.0656 | Heading:1.1780972450961724
[INFO] [1740590886.165257]: 1.0|0.0(X:118.42/Y:8.20) | Angle:1.0804 | Heading:1.1780972450961724
[INFO] [1740590886.258571]: 1.0|0.0(X:119.08/Y:6.96) | Angle:1.0952 | Heading:1.1780972450961724
[INFO] [1740590886.357474]: 1.0|0.0(X:119.66/Y:5.84) | Angle:1.1100 | Heading:1.1780972450961724
[INFO] [1740590886.459423]: 2.0|0.0(X:120.15/Y:4.85) | Angle:1.1544 | Heading:1.1780972450961724
[INFO] [1740590886.582960]: 2.0|0.0(X:120.81/Y:3.36) | Angle:1.1544 | Heading:1.1780972450961724
[INFO] [1740590886.659582]: 2.0|0.0(X:121.20/Y:2.48) | Angle:1.1692 | Heading:1.1780972450961724
[INFO] [1740590886.763129]: 2.0|0.0(X:121.69/Y:1.32) | Angle:1.0952 | Heading:1.1780972450961724
[INFO] [1740590886.857901]: 2.0|-1.0(X:122.47/Y:-0.19) | Angle:1.1692 | Heading:1.1780972450961724
[INFO] [1740590886.958869]: 2.0|-1.0(X:123.05/Y:-1.56) | Angle:1.1988 | Heading:1.1780972450961724
[INFO] [1740590887.057460]: 2.0|-1.0(X:123.56/Y:-2.87) | Angle:1.2432 | Heading:1.1780972450961724
[INFO] [1740590887.166298]: 2.0|-1.0(X:124.01/Y:-4.20) | Angle:1.2580 | Heading:1.1780972450961724
[INFO] [1740590887.264604]: 2.0|-1.0(X:124.44/Y:-5.54) | Angle:1.3024 | Heading:1.1780972450961724
[INFO] [1740590887.357802]: 2.0|-1.0(X:124.82/Y:-6.89) | Angle:1.3172 | Heading:1.1780972450961724
[INFO] [1740590887.457422]: 2.0|-1.0(X:125.11/Y:-8.04) | Angle:1.2876 | Heading:1.1780972450961724
[INFO] [1740590887.557443]: 2.0|-1.0(X:125.55/Y:-9.53) | Angle:1.3616 | Heading:1.1780972450961724
[INFO] [1740590887.658043]: 2.0|-1.0(X:125.79/Y:-10.69) | Angle:1.3616 | Heading:1.1780972450961724
